"array_element_name","is_control","locus","description"
"245007_at","no","ATCG00350","Photosystem I, PsaA/PsaB protein"
"245008_at","no","ATCG00360","Tetratricopeptide repeat (TPR)-like superfamily protein"
"245009_at","no","ATCG00380","chloroplast ribosomal protein S4"
"245010_at","no","ATCG00420","NADH dehydrogenase subunit J"
"245011_at","no","ATCG00430","photosystem II reaction center protein G"
"245012_at","no","ATCG00440","NADH:ubiquinone/plastoquinone oxidoreductase, chain 3 protein"
"245013_at","no","ATCG00470","ATP synthase epsilon chain"
"245014_at","no","ATCG00480","ATP synthase subunit beta"
"245015_at","no","ATCG00490","ribulose-bisphosphate carboxylases"
"245016_at","no","ATCG00500","acetyl-CoA carboxylase carboxyl transferase subunit beta"
"245017_at","no","ATCG00510","photsystem I subunit I"
"245018_at","no","ATCG00520","unfolded protein binding"
"245019_at","no","ATCG00530","CemA-like proton extrusion protein-related"
"245020_at","no","ATCG00540","photosynthetic electron transfer A"
"245021_at","no","ATCG00550","photosystem II reaction center protein J"
"245022_at","no","ATCG00560","photosystem II reaction center protein L"
"245023_at","no","ATCG00080","photosystem II reaction center protein I"
"245024_at","no","ATCG00120","ATP synthase subunit alpha"
"245025_at","no","ATCG00130","ATPase, F0 complex, subunit B/B', bacterial/chloroplast"
"245026_at","no","ATCG00140","ATP synthase subunit C family protein"
"245027_at","no","AT2G26550","heme oxygenase 2"
"245028_at","no","AT2G26570","Plant protein of unknown function (DUF827)"
"245029_at","no","AT2G26580","plant-specific transcription factor YABBY family protein"
"245030_at","no","AT2G26620","Pectin lyase-like superfamily protein"
"245031_at","no","AT2G26360","Mitochondrial substrate carrier family protein"
"245032_at","no","AT2G26630","transposable element gene"
"245033_at","no","AT2G26380","Leucine-rich repeat (LRR) family protein"
"245034_at","no","AT2G26390","Serine protease inhibitor (SERPIN) family protein"
"245035_at","no","AT2G26400","acireductone dioxygenase 3"
"245036_at","no","AT2G26410","IQ-domain 4"
"245037_at","no","AT2G26420","1-phosphatidylinositol-4-phosphate 5-kinase 3"
"245038_at","no","AT2G26560","phospholipase A 2A"
"245039_at","no","AT2G26600","Glycosyl hydrolase superfamily protein"
"245040_at","no","AT2G26520","unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G57500.1); Has 51 Blast hits to 51 proteins in 11 species: Archae - 0; Bacteria - 1; Metazoa - 0; Fungi - 0; Plants - 50; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
"245041_at","no","AT2G26530","Protein of unknown function (DUF1645)"
"245042_at","no","AT2G26540","uroporphyrinogen-III synthase family protein"
"245043_at","no","AT2G26430","arginine-rich cyclin 1"
"245044_at","no","AT2G26500","cytochrome b6f complex subunit (petM), putative"
"245045_at","no","AT2G26590","regulatory particle non-ATPase 13"
"245046_at","no","AT2G26510","Xanthine/uracil permease family protein"
"245047_at","no","ATCG00020","photosystem II reaction center protein A"
"245048_at","no","ATCG00040","maturase K"
"245049_at","no","ATCG00050","ribosomal protein S16"
"245050_at","no","ATCG00070","photosystem II reaction center protein K precursor"
"245051_at","no","AT2G23320","WRKY DNA-binding protein 15"
"245052_at","no","AT2G26440","Plant invertase/pectin methylesterase inhibitor superfamily"
"245053_at","no","AT2G26450","Plant invertase/pectin methylesterase inhibitor superfamily"
"245054_at","no","AT2G26460","RED family protein"
"245055_at","no","AT2G26470","unknown protein; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF159 (InterPro:IPR003738); Has 3646 Blast hits to 3636 proteins in 1001 species: Archae - 41; Bacteria - 1922; Metazoa - 142; Fungi - 125; Plants - 44; Viruses - 14; Other Eukaryotes - 1358 (source: NCBI BLink)."
"245056_at","no","AT2G26480","UDP-glucosyl transferase 76D1"
"245057_at","no","AT2G26490","Transducin/WD40 repeat-like superfamily protein"
"245058_at","no","AT2G39790","Mitochondrial glycoprotein family protein"
"245059_at","no","AT2G39720","RING-H2 finger C2A"
"245060_at","no","AT2G39770","Glucose-1-phosphate adenylyltransferase family protein"
"245061_at","no","AT2G39730","rubisco activase"
"245062_at","no","AT2G39760","BTB/POZ/MATH-domains containing protein"
"245063_at","no","AT2G39795","Mitochondrial glycoprotein family protein"
"245064_at","no","AT2G39725","LYR family of Fe/S cluster biogenesis protein"
"245065_at","no","AT2G39750","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein"
"245066_at","no","AT2G39840","type one serine/threonine protein phosphatase 4"
"245067_at","no","AT2G39780","ribonuclease 2"
"245068_at","no","AT2G23260","UDP-glucosyl transferase 84B1"
"245069_at","no","AT2G23250","UDP-glucosyl transferase 84B2"
"245070_at","no","AT2G23240","Plant EC metallothionein-like protein, family 15"
"245071_at","no","AT2G23230","Terpenoid cyclases/Protein prenyltransferases superfamily protein"
"245072_s_at","no","AT2G23220;AT2G23190","[AT2G23220, cytochrome P450, family 81, subfamily D, polypeptide 6];[AT2G23190, cytochrome P450, family 81, subfamily D, polypeptide 7]"
"245073_at","no","AT2G23210","UDP-Glycosyltransferase superfamily protein"
"245074_at","no","AT2G23200","Protein kinase superfamily protein"
"245075_at","no","AT2G23180","cytochrome P450, family 96, subfamily A, polypeptide 1"
"245076_at","no","AT2G23170","Auxin-responsive GH3 family protein"
"245077_at","no","AT2G23160","F-box family protein"
"245078_at","no","AT2G23340","DREB and EAR motif protein 3"
"245079_at","no","AT2G23330","transposable element gene"
"245080_at","no","AT2G23300","Leucine-rich repeat protein kinase family protein"
"245082_at","no","AT2G23270","unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: stem, sperm cell, root, stamen; EXPRESSED DURING: 4 anthesis; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G37290.1); Has 36 Blast hits to 35 proteins in 6 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 36; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
"245083_at","no","AT2G23310","Rer1 family protein"
"245084_at","no","AT2G23290","myb domain protein 70"
"245085_at","no","AT2G23350","poly(A) binding protein 4"
"245086_at","no","AT2G39820","Translation initiation factor IF6"
"245087_at","no","AT2G39830","DA1-related protein 2"
"245088_at","no","AT2G39850","Subtilisin-like serine endopeptidase family protein"
"245089_at","no","AT2G45290","Transketolase"
"245090_at","no","AT2G40900","nodulin MtN21 /EamA-like transporter family protein"
"245091_at","no","AT2G40910","F-box and associated interaction domains-containing protein"
"245092_at","no","AT2G40950","Basic-leucine zipper (bZIP) transcription factor family protein"
"245093_at","no","AT2G40815","Calcium-dependent lipid-binding (CaLB domain) family protein"
"245094_at","no","AT2G40840","disproportionating enzyme 2"
"245095_at","no","AT2G40860","protein kinase family protein / protein phosphatase 2C ( PP2C) family protein"
"245096_at","no","AT2G40880","cystatin A"
"245097_at","no","AT2G40935","PLAC8 family protein"
"245098_at","no","AT2G40940","ethylene response sensor 1"
"245099_at","no","AT2G40830","RING-H2 finger C1A"
"245100_at","no","AT2G40930","ubiquitin-specific protease 5"
"245101_at","no","AT2G40890","cytochrome P450, family 98, subfamily A, polypeptide 3"
"245102_at","no","AT2G41580","transposable element gene"
"245103_at","no","AT2G41590","unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G25200.1); Has 221 Blast hits to 217 proteins in 10 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 221; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
"245104_at","no","AT2G41600","Mitochondrial glycoprotein family protein"
"245105_at","no","AT2G41610","unknown protein; Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink)."
"245106_at","no","AT2G41650","unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 3 Blast hits to 3 proteins in 1 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 3; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
"245107_at","no","AT2G41690","heat shock transcription factor B3"
"245108_at","no","AT2G41510","cytokinin oxidase/dehydrogenase 1"
"245109_at","no","AT2G41520","Heat shock protein DnaJ with tetratricopeptide repeat"
"245110_at","no","AT2G41550","Rho termination factor"
"245111_at","no","AT2G41570","transposable element gene"
"245112_at","no","AT2G41540","6-phosphogluconate dehydrogenase family protein"
"245113_at","no","AT2G41660","Protein of unknown function, DUF617"
"245114_at","no","AT2G41630","transcription factor IIB"
"245115_at","no","AT2G41530","S-formylglutathione hydrolase"
"245116_at","no","AT2G41620","Nucleoporin interacting component (Nup93/Nic96-like) family protein"
"245117_at","no","AT2G41560","autoinhibited Ca(2+)-ATPase, isoform 4"
"245118_at","no","AT2G41680","NADPH-dependent thioredoxin reductase C"
"245119_at","no","AT2G41640","Glycosyltransferase family 61 protein"
"245120_at","no","AT2G39810","ubiquitin-protein ligases"
"245121_at","no","AT2G47610","Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein"
"245122_at","no","AT2G47420","Ribosomal RNA adenine dimethylase family protein"
"245123_at","no","AT2G47450","chloroplast signal recognition particle component (CAO)"
"245124_at","no","AT2G47580","spliceosomal protein U1A"
"245125_at","no","AT2G47430","Signal transduction histidine kinase"
"245126_at","no","AT2G47460","myb domain protein 12"
"245127_at","no","AT2G47600","magnesium/proton exchanger"
"245128_at","no","AT2G45380","FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: inflorescence meristem, flower, cultured cell; EXPRESSED DURING: petal differentiation and expansion stage; BEST Arabidopsis thaliana protein match is: Calcium-binding EF-hand family protein (TAIR:AT4G34070.1); Has 171 Blast hits to 170 proteins in 31 species: Archae - 2; Bacteria - 0; Metazoa - 68; Fungi - 0; Plants - 94; Viruses - 0; Other Eukaryotes - 7 (source: NCBI BLink)."
"245129_at","no","AT2G45350","Pentatricopeptide repeat (PPR) superfamily protein"
"245130_at","no","AT2G45340","Leucine-rich repeat protein kinase family protein"
"245131_s_at","no","AT2G45330;AT5G23600","[AT2G45330, RNA 2'-phosphotransferase, Tpt1 / KptA family];[AT5G23600, RNA 2'-phosphotransferase, Tpt1 / KptA family]"
"245132_at","no","AT2G45320","unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion; EXPRESSED IN: 20 plant structures; EXPRESSED DURING: 10 growth stages; Has 45 Blast hits to 45 proteins in 16 species: Archae - 0; Bacteria - 8; Metazoa - 0; Fungi - 0; Plants - 37; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
"245133_at","no","AT2G45310","UDP-D-glucuronate 4-epimerase 4"
"245134_s_at","no","AT4G38280;AT2G45250","[AT4G38280, BEST Arabidopsis thaliana protein match is: Integral membrane protein hemolysin-III homolog (TAIR:AT2G45250.1); Has 65 Blast hits to 65 proteins in 13 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 2; Plants - 63; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).];[AT2G45250, Integral membrane protein hemolysin-III homolog]"
"245135_at","no","AT2G45230","transposable element gene"
"245136_at","no","AT2G45210","SAUR-like auxin-responsive protein family "
"245137_at","no","AT2G45460","SMAD/FHA domain-containing protein "
"245138_at","no","AT2G45190","Plant-specific transcription factor YABBY family protein"
"245139_at","no","AT2G45430","AT-hook motif nuclear-localized protein 22"
"245140_at","no","AT2G45420","LOB domain-containing protein 18"
"245141_at","no","AT2G45400","NAD(P)-binding Rossmann-fold superfamily protein"
"245142_at","no","AT2G45270","glycoprotease 1"
"245143_at","no","AT2G45450","protein binding"
"245144_at","no","AT2G45240","methionine aminopeptidase 1A"
"245145_at","no","AT2G45440","dihydrodipicolinate synthase"
"245146_at","no","AT2G45200","golgi snare 12"
"245147_at","no","AT2G45280","RAS associated with diabetes protein 51C"
"245148_at","no","AT2G45220","Plant invertase/pectin methylesterase inhibitor superfamily"
"245149_at","no","AT2G47620","SWITCH/sucrose nonfermenting 3A"
"245150_at","no","AT2G47590","photolyase/blue-light receptor 2"
"245151_at","no","AT2G47550","Plant invertase/pectin methylesterase inhibitor superfamily"
"245152_at","no","AT2G47490","NAD+ transporter 1"
"245153_at","no","AT5G12450","FBD-like domain family protein"
"245154_at","no","AT5G12460","Protein of unknown function (DUF604)"
"245155_at","no","AT5G12470","Protein of unknown function (DUF3411)"
"245156_at","no","AT5G12480","calmodulin-domain protein kinase 7"
"245157_at","no","AT2G33160","glycoside hydrolase family 28 protein / polygalacturonase (pectinase) family protein"
"245158_at","no","AT2G33130","ralf-like 18"
"245159_at","no","AT2G33100","cellulose synthase-like D1"
"245160_at","no","AT2G33080","receptor like protein 28"
"245161_at","no","AT2G33070","nitrile specifier protein 2"
"245162_at","no","AT2G33240","myosin XI D"
"245163_at","no","AT2G33230","YUCCA 7"
"245164_at","no","AT2G33210","heat shock protein 60-2"
"245165_at","no","AT2G33180","unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast stroma; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 57 Blast hits to 57 proteins in 22 species: Archae - 0; Bacteria - 8; Metazoa - 0; Fungi - 0; Plants - 35; Viruses - 0; Other Eukaryotes - 14 (source: NCBI BLink)."
"245166_at","no","AT2G33170","Leucine-rich repeat receptor-like protein kinase family protein"
"245167_s_at","no","AT2G33120;AT2G33110","[AT2G33120, synaptobrevin-related protein 1];[AT2G33110, vesicle-associated membrane protein 723]"
"245168_at","no","AT2G33150","peroxisomal 3-ketoacyl-CoA thiolase 3"
"245169_at","no","AT2G33220","GRIM-19 protein"
"245170_at","no","AT2G47570","Ribosomal protein L18e/L15 superfamily protein"
"245171_at","no","AT2G47560","RING/U-box superfamily protein"
"245172_at","no","AT2G47540","Pollen Ole e 1 allergen and extensin family protein"
"245173_at","no","AT2G47520","Integrase-type DNA-binding superfamily protein"
"245174_at","no","AT2G47500","P-loop nucleoside triphosphate hydrolases superfamily protein with CH (Calponin Homology) domain"
"245175_at","no","AT2G47470","thioredoxin family protein"
"245176_at","no","AT2G47440","Tetratricopeptide repeat (TPR)-like superfamily protein"
"245177_at","no","AT5G12380","annexin 8"
"245178_at","no","AT5G12390","Tetratricopeptide repeat (TPR)-like superfamily protein"
"245180_at","no","AT5G12410","THUMP domain-containing protein"
"245181_at","no","AT5G12420","O-acyltransferase (WSD1-like) family protein"
"245182_at","no","AT5G12430","Heat shock protein DnaJ with tetratricopeptide repeat"
"245183_at","no","AT5G12440","CCCH-type zinc fingerfamily protein with RNA-binding domain"
"245184_at","no","AT1G67790","unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G01680.1); Has 208 Blast hits to 125 proteins in 13 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 208; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
"245185_at","no","AT1G67760","TCP-1/cpn60 chaperonin family protein"
"245186_at","no","AT1G67710","response regulator 11"
"245187_s_at","no","AT1G67650;AT1G67680","[AT1G67650, SRP72 RNA-binding domain];[AT1G67680, SRP72 RNA-binding domain]"
"245188_at","no","AT1G67660","Restriction endonuclease, type II-like superfamily protein"
"245189_at","no","AT1G67670","unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G24405.1); Has 18 Blast hits to 18 proteins in 6 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 18; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
"245190_at","no","AT1G67690","Zincin-like metalloproteases family protein"
"245191_at","no","AT1G67770","terminal EAR1-like 2"
"245192_at","no","AT1G67780","Zinc-finger domain of monoamine-oxidase A repressor R1 protein"
"245193_at","no","AT1G67810","sulfur E2"
"245194_at","no","AT1G67820","Protein phosphatase 2C family protein"
"245195_at","no","AT1G67740","photosystem II BY"
"245196_at","no","AT1G67750","Pectate lyase family protein"
"245197_at","no","AT1G67800","Copine (Calcium-dependent phospholipid-binding protein) family"
"245198_at","no","AT1G67700","unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast, chloroplast envelope; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 49 Blast hits to 49 proteins in 20 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 44; Viruses - 0; Other Eukaryotes - 5 (source: NCBI BLink)."
"245199_at","no","AT1G67730","beta-ketoacyl reductase 1"
"245200_at","no","AT1G67850","Protein of unknown function (DUF707)"
"245201_at","no","AT1G67840","chloroplast sensor kinase"
"245202_at","no","AT1G67720","Leucine-rich repeat protein kinase family protein"
"245203_at","no","AT3G33080","transposable element gene"
"245204_at","no","AT5G12270","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein"
"245205_at","no","AT5G12280","SWAP (Suppressor-of-White-APricot)/surp RNA-binding domain-containing protein"
"245206_at","no","AT5G12290","dgd1 suppressor 1"
"245207_at","no","AT5G12310","RING/U-box superfamily protein"
"245208_at","no","AT5G12330","Lateral root primordium (LRP) protein-related"
"245209_at","no","AT5G12340","unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G28190.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink)."
